ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000002.SH,20181228,2611.3814,2600.6063,2623.1552,2595.0509,2600.0518,11.3296,0.004357,119078887.0,105898666.2
000002.SH,20181227,2600.0518,2646.8458,2651.3168,2600.0518,2615.9978,-15.946,-0.006096000000000001,135241303.0,112398024.8
000002.SH,20181226,2615.9978,2618.9525,2632.2824,2609.4843,2622.8308,-6.833,-0.002605,108623098.0,93898364.4
000002.SH,20181225,2622.8308,2621.8612,2632.4252,2578.8173,2646.0667,-23.2359,-0.008781,140440252.0,114640294.1
000002.SH,20181224,2646.0667,2624.8081,2648.6334,2618.1904,2634.7988,11.2679,0.004277,97195310.0,85679906.7
000002.SH,20181221,2634.7989,2645.5276,2646.4474,2616.3582,2655.7289,-20.93,-0.007881,115472773.0,101233523.7
000002.SH,20181220,2655.7289,2664.3721,2675.2468,2634.4789,2669.6801,-13.9512,-0.005226,120415794.0,103414235.9
000002.SH,20181219,2669.6802,2700.2429,2701.5051,2667.0795,2698.1131,-28.4329,-0.010538,107553955.0,93655904.8
000002.SH,20181218,2698.1131,2705.413,2721.6985,2684.4084,2720.4689,-22.3558,-0.008218,116895406.0,99232969.6
000002.SH,20181217,2720.4689,2709.212,2721.5014,2695.19,2716.0034,4.4655,0.0016439999999999998,117235808.0,102893739.4
000002.SH,20181214,2716.0034,2751.1495,2753.13,2716.0034,2758.2545,-42.2511,-0.015318,145785848.0,123643656.1
000002.SH,20181213,2758.2545,2730.0657,2770.616,2721.9885,2724.8253,33.4292,0.012268,150535652.0,132267190.5
000002.SH,20181212,2724.8253,2731.1201,2733.0873,2717.4161,2716.3823,8.443,0.003108,103354072.0,88906864.8
000002.SH,20181211,2716.3823,2708.9715,2718.5455,2704.9567,2706.4168,9.9655,0.0036820000000000004,101159615.0,85334690.2
000002.SH,20181210,2706.4168,2711.2021,2722.327,2697.6688,2728.7236,-22.3068,-0.008175,113018318.0,99059117.6
000002.SH,20181207,2728.7236,2732.3579,2737.8517,2721.8042,2727.9874,0.7362,0.00027,108946222.0,97659461.1
000002.SH,20181206,2727.9874,2753.8089,2757.8752,2725.8538,2774.7917,-46.8043,-0.016868,141436169.0,128970564.3
000002.SH,20181205,2774.7917,2753.8021,2785.8844,2749.7175,2791.6842,-16.8925,-0.006051,154195194.0,133570628.1
000002.SH,20181204,2791.6842,2776.5901,2791.822,2769.5943,2779.9882,11.696,0.004207,167683765.0,144011070.0
000002.SH,20181203,2779.9882,2772.0275,2791.0063,2753.1315,2710.1701,69.8181,0.025762,207072453.0,187594002.9
000002.SH,20181130,2710.1701,2685.4152,2712.3116,2675.6822,2688.4205,21.7496,0.00809,138800579.0,111870016.1
000002.SH,20181129,2688.4205,2737.0412,2740.9954,2688.4205,2724.3995,-35.979,-0.013206,156922171.0,129347290.4
000002.SH,20181128,2724.3995,2696.863,2724.651,2682.297,2696.0473,28.3522,0.010516000000000001,145709402.0,119453842.4
000002.SH,20181127,2696.0473,2707.7906,2714.78,2687.1199,2697.2706,-1.2233,-0.00045400000000000003,123425790.0,102111997.0
000002.SH,20181126,2697.2706,2702.5494,2717.3857,2689.1208,2701.0952,-3.8246,-0.001416,134070058.0,108034131.2
